id,url,name,source,deployment,campaign,latitude,longitude,depth,time,flagged,boxes
0,https://gbe-uauckland.s3.ap-southeast-2.amazonaws.com/drop_camera/202103_Noises/202103_Noises_1/images/GOPR1917.JPG,GOPR1917.JPG,UoA Sea Urchin,202103_Noises_1,202103_Noises,-36.692838,174.973557,5.1,25/03/2021 13:09,False,[]
1,https://gbe-uauckland.s3.ap-southeast-2.amazonaws.com/drop_camera/202103_Noises/202103_Noises_1/images/GOPR1906.JPG,GOPR1906.JPG,UoA Sea Urchin,202103_Noises_1,202103_Noises,-36.692498,174.973842,8,25/03/2021 12:56,False,[]
2,https://gbe-uauckland.s3.ap-southeast-2.amazonaws.com/drop_camera/202103_Noises/202103_Noises_1/images/GOPR1900.JPG,GOPR1900.JPG,UoA Sea Urchin,202103_Noises_1,202103_Noises,-36.692815,174.9739,7.6,25/03/2021 12:52,False,[]
3,https://gbe-uauckland.s3.ap-southeast-2.amazonaws.com/drop_camera/202103_Noises/202103_Noises_1/images/GOPR1901.JPG,GOPR1901.JPG,UoA Sea Urchin,202103_Noises_1,202103_Noises,-36.692794,174.973907,7.7,25/03/2021 12:52,False,[]
4,https://gbe-uauckland.s3.ap-southeast-2.amazonaws.com/drop_camera/202103_Noises/202103_Noises_1/images/GOPR1919.JPG,GOPR1919.JPG,UoA Sea Urchin,202103_Noises_1,202103_Noises,-36.692737,174.97369,7.2,25/03/2021 13:13,False,[]
5,https://gbe-uauckland.s3.ap-southeast-2.amazonaws.com/drop_camera/202103_Noises/202103_Noises_1/images/GOPR1920.JPG,GOPR1920.JPG,UoA Sea Urchin,202103_Noises_1,202103_Noises,-36.692674,174.973754,8.6,25/03/2021 13:13,False,[]
6,https://gbe-uauckland.s3.ap-southeast-2.amazonaws.com/drop_camera/202103_Noises/202103_Noises_1/images/GOPR1909.JPG,GOPR1909.JPG,UoA Sea Urchin,202103_Noises_1,202103_Noises,-36.692153,174.974187,12.2,25/03/2021 12:59,False,[]
7,https://gbe-uauckland.s3.ap-southeast-2.amazonaws.com/drop_camera/202103_Noises/202103_Noises_1/images/GOPR1915.JPG,GOPR1915.JPG,UoA Sea Urchin,202103_Noises_1,202103_Noises,-36.692955,174.973484,5.7,25/03/2021 13:07,False,[]
8,https://gbe-uauckland.s3.ap-southeast-2.amazonaws.com/drop_camera/202103_Noises/202103_Noises_1/images/GOPR1913.JPG,GOPR1913.JPG,UoA Sea Urchin,202103_Noises_1,202103_Noises,-36.693124,174.973499,3,25/03/2021 13:06,False,[]
9,https://gbe-uauckland.s3.ap-southeast-2.amazonaws.com/drop_camera/202103_Noises/202103_Noises_1/images/GOPR1911.JPG,GOPR1911.JPG,UoA Sea Urchin,202103_Noises_1,202103_Noises,-36.692055,174.974329,12.2,25/03/2021 13:00,False,[]
10,https://gbe-uauckland.s3.ap-southeast-2.amazonaws.com/drop_camera/202103_Noises/202103_Noises_1/images/GOPR1912.JPG,GOPR1912.JPG,UoA Sea Urchin,202103_Noises_1,202103_Noises,-36.691883,174.974501,12.6,25/03/2021 13:02,False,[]
11,https://gbe-uauckland.s3.ap-southeast-2.amazonaws.com/drop_camera/202103_Noises/202103_Noises_1/images/GOPR1898.JPG,GOPR1898.JPG,UoA Sea Urchin,202103_Noises_1,202103_Noises,-36.692967,174.973749,3.3,25/03/2021 12:50,False,[]
12,https://gbe-uauckland.s3.ap-southeast-2.amazonaws.com/drop_camera/202103_Noises/202103_Noises_1/images/GOPR1899.JPG,GOPR1899.JPG,UoA Sea Urchin,202103_Noises_1,202103_Noises,-36.692848,174.973838,4.5,25/03/2021 12:51,False,[]
13,https://gbe-uauckland.s3.ap-southeast-2.amazonaws.com/drop_camera/202103_Noises/202103_Noises_1/images/GOPR1902.JPG,GOPR1902.JPG,UoA Sea Urchin,202103_Noises_1,202103_Noises,-36.692748,174.973854,7.2,25/03/2021 12:52,False,[]
