id,url,name,source,deployment,campaign,latitude,longitude,depth,time,boxes
0,https://gbe-uauckland.s3.ap-southeast-2.amazonaws.com/drop_camera/202103_Noises/202103_Noises_1/images/GOPR1917.JPG,GOPR1917.JPG,UoA Sea Urchin,202103_Noises_1,202103_Noises,-36.692838,174.973557,5.1,25/03/2021 13:09,[]
1,https://gbe-uauckland.s3.ap-southeast-2.amazonaws.com/drop_camera/202103_Noises/202103_Noises_1/images/GOPR1915.JPG,GOPR1915.JPG,UoA Sea Urchin,202103_Noises_1,202103_Noises,-36.692955,174.973484,5.7,25/03/2021 13:07,"[('Evechinus chloroticus', 1.0, 0.5491686461940231, 0.5300632911392406, 0.0332541567695962, 0.047468354430379923)]"
2,https://gbe-uauckland.s3.ap-southeast-2.amazonaws.com/drop_camera/202103_Noises/202103_Noises_1/images/GOPR1906.JPG,GOPR1906.JPG,UoA Sea Urchin,202103_Noises_1,202103_Noises,-36.692498,174.973842,8,25/03/2021 12:56,[]
3,https://gbe-uauckland.s3.ap-southeast-2.amazonaws.com/drop_camera/202103_Noises/202103_Noises_1/images/GOPR1900.JPG,GOPR1900.JPG,UoA Sea Urchin,202103_Noises_1,202103_Noises,-36.692815,174.9739,7.6,25/03/2021 12:52,[]
4,https://gbe-uauckland.s3.ap-southeast-2.amazonaws.com/drop_camera/202103_Noises/202103_Noises_1/images/GOPR1901.JPG,GOPR1901.JPG,UoA Sea Urchin,202103_Noises_1,202103_Noises,-36.692794,174.973907,7.7,25/03/2021 12:52,[]
5,https://gbe-uauckland.s3.ap-southeast-2.amazonaws.com/drop_camera/202103_Noises/202103_Noises_1/images/GOPR1919.JPG,GOPR1919.JPG,UoA Sea Urchin,202103_Noises_1,202103_Noises,-36.692737,174.97369,7.2,25/03/2021 13:13,[]
6,https://gbe-uauckland.s3.ap-southeast-2.amazonaws.com/drop_camera/202103_Noises/202103_Noises_1/images/GOPR1920.JPG,GOPR1920.JPG,UoA Sea Urchin,202103_Noises_1,202103_Noises,-36.692674,174.973754,8.6,25/03/2021 13:13,[]
7,https://gbe-uauckland.s3.ap-southeast-2.amazonaws.com/drop_camera/202104_Nordic/202104_Nordic_1/images/GOPR9916.JPG,GOPR9916.JPG,UoA Sea Urchin,202104_Nordic_1,202104_Nordic,-36.291505,174.809957,1.5,13/04/2021 12:32,"[('Evechinus chloroticus', 1.0, 0.6619469026548672, 0.16863207547169812, 0.05309734513274336, 0.0660377358490566), ('Evechinus chloroticus', 1.0, 0.7407079646017699, 0.4080188679245283, 0.03185840707964602, 0.03773584905660377)]"
8,https://gbe-uauckland.s3.ap-southeast-2.amazonaws.com/drop_camera/202103_Noises/202103_Noises_1/images/GOPR1907.JPG,GOPR1907.JPG,UoA Sea Urchin,202103_Noises_1,202103_Noises,-36.692423,174.973878,5.9,25/03/2021 12:57,"[('Evechinus chloroticus', 1.0, 0.8187648457189637, 0.6455696202531646, 0.06413301662707839, 0.09177215189873418)]"
9,https://gbe-uauckland.s3.ap-southeast-2.amazonaws.com/drop_camera/202103_Noises/202103_Noises_1/images/GOPR1905.JPG,GOPR1905.JPG,UoA Sea Urchin,202103_Noises_1,202103_Noises,-36.69257,174.973802,5.1,25/03/2021 12:55,"[('Evechinus chloroticus', 1.0, 0.31045130652656466, 0.7389240506329114, 0.035629453681710214, 0.04430379746835461)]"
10,https://gbe-uauckland.s3.ap-southeast-2.amazonaws.com/drop_camera/202103_Noises/202103_Noises_1/images/GOPR1909.JPG,GOPR1909.JPG,UoA Sea Urchin,202103_Noises_1,202103_Noises,-36.692153,174.974187,12.2,25/03/2021 12:59,[]
11,https://gbe-uauckland.s3.ap-southeast-2.amazonaws.com/drop_camera/202103_Noises/202103_Noises_1/images/GOPR1913.JPG,GOPR1913.JPG,UoA Sea Urchin,202103_Noises_1,202103_Noises,-36.693124,174.973499,3,25/03/2021 13:06,[]
12,https://gbe-uauckland.s3.ap-southeast-2.amazonaws.com/drop_camera/202103_Noises/202103_Noises_1/images/GOPR1911.JPG,GOPR1911.JPG,UoA Sea Urchin,202103_Noises_1,202103_Noises,-36.692055,174.974329,12.2,25/03/2021 13:00,[]
13,https://gbe-uauckland.s3.ap-southeast-2.amazonaws.com/drop_camera/202103_Noises/202103_Noises_1/images/GOPR1912.JPG,GOPR1912.JPG,UoA Sea Urchin,202103_Noises_1,202103_Noises,-36.691883,174.974501,12.6,25/03/2021 13:02,[]
14,https://gbe-uauckland.s3.ap-southeast-2.amazonaws.com/drop_camera/202103_Noises/202103_Noises_1/images/GOPR1898.JPG,GOPR1898.JPG,UoA Sea Urchin,202103_Noises_1,202103_Noises,-36.692967,174.973749,3.3,25/03/2021 12:50,"[('Evechinus chloroticus', 0.4, 0.8277310924369747, 0.45149253731343286, 0.05322128851540616, 0.07835820895522388)]"
15,https://gbe-uauckland.s3.ap-southeast-2.amazonaws.com/drop_camera/202103_Noises/202103_Noises_1/images/GOPR1899.JPG,GOPR1899.JPG,UoA Sea Urchin,202103_Noises_1,202103_Noises,-36.692848,174.973838,4.5,25/03/2021 12:51,"[('Evechinus chloroticus', 1.0, 0.5756302521008403, 0.3376865671641791, 0.03921568627450996, 0.08582089552238806)]"
