id,url,name,width,height,source,deployment,campaign,latitude,longitude,depth,altitude,time,flagged,count,Evechinus,Centrostephanus,Heliocidaris,boxes
5333696,https://rls.tpac.org.au/pq/2001497/JBMPA16_KHVT3_4mBowenIsland270310%20(14).JPG/,,0,0,RLS- Heliocidaris PPB,2001497_JBMP-S16_2010-03-27,RLS_Jervis Bay Marine Park_2010,-35.1196625,150.76,3.4,,2010-03-27 00:00:14,False,0,False,False,False,[]
5333862,https://rls.tpac.org.au/pq/2001505/JBMPA18_KHVT4_3mBristolPoint270310%20(10).JPG/,,0,0,RLS- Heliocidaris PPB,2001505_JBMP-S18_2010-03-27,RLS_Jervis Bay Marine Park_2010,-35.1297525,150.73,4.3,,2010-03-27 00:00:10,False,0,False,False,False,[]
5333863,https://rls.tpac.org.au/pq/2001505/JBMPA18_KHVT4_3mBristolPoint270310%20(11).JPG/,,0,0,RLS- Heliocidaris PPB,2001505_JBMP-S18_2010-03-27,RLS_Jervis Bay Marine Park_2010,-35.12973,150.73,4.3,,2010-03-27 00:00:11,False,0,False,False,False,[]
5348171,https://rls.tpac.org.au/pq/2002694/JBMP-S15WCB5_1mBowenIsNW160411%20(12).JPG/,,0,0,RLS- Heliocidaris PPB,2002694_JBMP-S15_2011-04-16,RLS_Jervis Bay Marine Park_2011,-35.110225,150.77029077379285,5.1,,2011-04-16 00:00:11,False,0,False,False,False,[]
5348181,https://rls.tpac.org.au/pq/2002695/JBMP-S15_ATC5_2m160411BowenIsNW%20(2).JPG/,,0,0,RLS- Heliocidaris PPB,2002695_JBMP-S15_2011-04-16,RLS_Jervis Bay Marine Park_2011,-35.109955,150.76997356785247,5.2,,2011-04-16 00:00:01,False,0,False,False,False,[]
5333684,https://rls.tpac.org.au/pq/2001497/JBMPA16_KHVT3_4mBowenIsland270310%20(2).JPG/,,0,0,RLS- Heliocidaris PPB,2001497_JBMP-S16_2010-03-27,RLS_Jervis Bay Marine Park_2010,-35.119932500000004,150.76,3.4,,2010-03-27 00:00:02,False,0,False,False,False,[]
5333701,https://rls.tpac.org.au/pq/2001497/JBMPA16_KHVT3_4mBowenIsland270310%20(19).JPG/,,0,0,RLS- Heliocidaris PPB,2001497_JBMP-S16_2010-03-27,RLS_Jervis Bay Marine Park_2010,-35.11955,150.76,3.4,,2010-03-27 00:00:19,False,0,False,False,False,[]
5333703,https://rls.tpac.org.au/pq/2001498/JBMPA16_DJA6m270310BowenislandSW.JPG/,,0,0,RLS- Heliocidaris PPB,2001498_JBMP-S16_2010-03-27,RLS_Jervis Bay Marine Park_2010,-35.119977500000005,150.76,6.0,,2010-03-27 00:00:00,False,0,False,False,False,[]
5333854,https://rls.tpac.org.au/pq/2001505/JBMPA18_KHVT4_3mBristolPoint270310%20(2).JPG/,,0,0,RLS- Heliocidaris PPB,2001505_JBMP-S18_2010-03-27,RLS_Jervis Bay Marine Park_2010,-35.1299325,150.73,4.3,,2010-03-27 00:00:02,False,0,False,False,False,[]
5333856,https://rls.tpac.org.au/pq/2001505/JBMPA18_KHVT4_3mBristolPoint270310%20(4).JPG/,,0,0,RLS- Heliocidaris PPB,2001505_JBMP-S18_2010-03-27,RLS_Jervis Bay Marine Park_2010,-35.1298875,150.73,4.3,,2010-03-27 00:00:04,False,0,False,False,False,[]
5348183,https://rls.tpac.org.au/pq/2002695/JBMP-S15_ATC5_2m160411BowenIsNW%20(4).JPG/,,0,0,RLS- Heliocidaris PPB,2002695_JBMP-S15_2011-04-16,RLS_Jervis Bay Marine Park_2011,-35.10991,150.76992070465724,5.2,,2011-04-16 00:00:03,False,0,False,False,False,[]
5333609,https://rls.tpac.org.au/pq/2001493/JBMPA15_KHVT5_4m270310BowenIslandNW%20(17).JPG/,,0,0,RLS- Heliocidaris PPB,2001493_JBMP-S15_2010-03-27,RLS_Jervis Bay Marine Park_2010,-35.1096175,150.77,5.4,,2010-03-27 00:00:16,False,0,False,False,False,[]
5333683,https://rls.tpac.org.au/pq/2001497/JBMPA16_KHVT3_4mBowenIsland270310%20(1).JPG/,,0,0,RLS- Heliocidaris PPB,2001497_JBMP-S16_2010-03-27,RLS_Jervis Bay Marine Park_2010,-35.119955,150.76,3.4,,2010-03-27 00:00:01,False,0,False,False,False,[]
5333688,https://rls.tpac.org.au/pq/2001497/JBMPA16_KHVT3_4mBowenIsland270310%20(6).JPG/,,0,0,RLS- Heliocidaris PPB,2001497_JBMP-S16_2010-03-27,RLS_Jervis Bay Marine Park_2010,-35.1198425,150.76,3.4,,2010-03-27 00:00:06,False,0,False,False,False,[]
5333695,https://rls.tpac.org.au/pq/2001497/JBMPA16_KHVT3_4mBowenIsland270310%20(13).JPG/,,0,0,RLS- Heliocidaris PPB,2001497_JBMP-S16_2010-03-27,RLS_Jervis Bay Marine Park_2010,-35.119685,150.76,3.4,,2010-03-27 00:00:13,False,0,False,False,False,[]
5333702,https://rls.tpac.org.au/pq/2001497/JBMPA16_KHVT3_4mBowenIsland270310%20(20).JPG/,,0,0,RLS- Heliocidaris PPB,2001497_JBMP-S16_2010-03-27,RLS_Jervis Bay Marine Park_2010,-35.119527500000004,150.76,3.4,,2010-03-27 00:00:20,False,0,False,False,False,[]
5333711,https://rls.tpac.org.au/pq/2001498/JBMPA16_DJA6m270310BowenislandSW%20(9).JPG/,,0,0,RLS- Heliocidaris PPB,2001498_JBMP-S16_2010-03-27,RLS_Jervis Bay Marine Park_2010,-35.1197975,150.76,6.0,,2010-03-27 00:00:08,False,0,False,False,False,[]
