id,url,name,width,height,source,deployment,campaign,latitude,longitude,depth,altitude,time,flagged,count,Evechinus,Centrostephanus,Heliocidaris,boxes
5333610,https://rls.tpac.org.au/pq/2001493/JBMPA15_KHVT5_4m270310BowenIslandNW%20(18).JPG/,,0,0,RLS- Heliocidaris PPB,2001493_JBMP-S15_2010-03-27,RLS_Jervis Bay Marine Park_2010,-35.109595,150.77,5.4,,2010-03-27 00:00:17,False,1,False,True,False,"[('Centrostephanus rodgersii', 1.0, 0.6475644699140402, 0.4083969465648855, 0.06303724928366762, 0.08778625954198473, False, '10115618')]"
5333685,https://rls.tpac.org.au/pq/2001497/JBMPA16_KHVT3_4mBowenIsland270310%20(3).JPG/,,0,0,RLS- Heliocidaris PPB,2001497_JBMP-S16_2010-03-27,RLS_Jervis Bay Marine Park_2010,-35.11991,150.76,3.4,,2010-03-27 00:00:03,False,3,False,True,False,"[('Centrostephanus rodgersii', 1.0, 0.0329512893982808, 0.950381679389313, 0.08022922636103152, 0.11450381679389313, False, '10115626'), ('Centrostephanus rodgersii', 1.0, 0.15616045845272206, 0.21564885496183206, 0.4785100286532951, 0.6717557251908397, False, '10115624'), ('Centrostephanus rodgersii', 1.0, 0.8968481375358166, 0.9790076335877863, 0.20916905444126074, 0.08778625954198473, False, '10115625')]"
5333700,https://rls.tpac.org.au/pq/2001497/JBMPA16_KHVT3_4mBowenIsland270310%20(18).JPG/,,0,0,RLS- Heliocidaris PPB,2001497_JBMP-S16_2010-03-27,RLS_Jervis Bay Marine Park_2010,-35.1195725,150.76,3.4,,2010-03-27 00:00:18,False,2,False,True,False,"[('Centrostephanus rodgersii', 1.0, 0.905852417302799, 0.648854961832061, 0.1984732824427481, 0.10305343511450382, False, '10115642'), ('Centrostephanus rodgersii', 1.0, 0.17557251908396945, 0.4751908396946565, 0.5089058524173028, 0.38549618320610685, False, '10115643')]"
5333714,https://rls.tpac.org.au/pq/2001498/JBMPA16_DJA6m270310BowenislandSW%20(12).JPG/,,0,0,RLS- Heliocidaris PPB,2001498_JBMP-S16_2010-03-27,RLS_Jervis Bay Marine Park_2010,-35.11973,150.76,6.0,,2010-03-27 00:00:11,False,2,False,True,False,"[('Centrostephanus rodgersii', 1.0, 0.72264631043257, 0.06297709923664122, 0.24427480916030533, 0.17557251908396945, False, '10115668'), ('Centrostephanus rodgersii', 1.0, 0.3333333333333333, 0.10877862595419847, 0.20865139949109415, 0.1297709923664122, False, '10115667')]"
5333720,https://rls.tpac.org.au/pq/2001498/JBMPA16_DJA6m270310BowenislandSW%20(18).JPG/,,0,0,RLS- Heliocidaris PPB,2001498_JBMP-S16_2010-03-27,RLS_Jervis Bay Marine Park_2010,-35.119595000000004,150.76,6.0,,2010-03-27 00:00:17,False,8,False,True,False,"[('Centrostephanus rodgersii', 1.0, 0.1297709923664122, 0.21564885496183206, 0.0916030534351145, 0.05725190839694656, False, '10115682'), ('Centrostephanus rodgersii', 1.0, 0.03307888040712468, 0.16984732824427481, 0.07124681933842239, 0.061068702290076333, False, '10115683'), ('Centrostephanus rodgersii', 1.0, 0.6437659033078881, 0.5114503816793893, 0.10687022900763359, 0.0648854961832061, False, '10115678'), ('Centrostephanus rodgersii', 1.0, 0.45038167938931295, 0.40458015267175573, 0.10178117048346055, 0.08015267175572519, False, '10115680'), ('Centrostephanus rodgersii', 1.0, 0.03816793893129771, 0.5896946564885496, 0.08651399491094147, 0.07251908396946564, False, '10115685'), ('Centrostephanus rodgersii', 1.0, 0.22137404580152673, 0.33396946564885494, 0.10687022900763359, 0.11068702290076336, False, '10115681'), ('Centrostephanus rodgersii', 1.0, 0.7175572519083969, 0.8721374045801527, 0.11704834605597965, 0.11832061068702311, False, '10115679'), ('Centrostephanus rodgersii', 1.0, 0.34096692111959287, 0.5419847328244275, 0.06615776081424936, 0.05343511450381679, False, '10115684')]"
5341805,https://rls.tpac.org.au/pq/2001377/PS29_AS_4_5m130708BoatharbourNth%20(8).JPG/,,0,0,RLS- Heliocidaris PPB,2001377_PS29_2008-07-13,RLS_Port Stephens_2008,-32.78982,152.11,4.5,,2008-07-13 00:00:07,False,3,False,True,False,"[('Centrostephanus rodgersii', 1.0, 0.5687679083094556, 0.9790076335877863, 0.04011461318051576, 0.06870229007633588, False, '10115726'), ('Centrostephanus rodgersii', 1.0, 0.666189111747851, 0.03816793893129771, 0.12893982808022922, 0.12595419847328243, False, '10115725'), ('Centrostephanus rodgersii', 1.0, 0.4656160458452722, 0.08015267175572519, 0.3209169054441261, 0.2824427480916031, False, '10115724')]"
5341808,https://rls.tpac.org.au/pq/2001377/PS29_AS_4_5m130708BoatharbourNth%20(11).JPG/,,0,0,RLS- Heliocidaris PPB,2001377_PS29_2008-07-13,RLS_Port Stephens_2008,-32.789752500000006,152.11,4.5,,2008-07-13 00:00:10,False,2,False,True,False,"[('Centrostephanus rodgersii', 1.0, 0.8767908309455588, 0.9618320610687023, 0.17765042979942694, 0.14885496183206107, False, '10115731'), ('Centrostephanus rodgersii', 1.0, 0.22922636103151864, 0.8244274809160306, 0.21203438395415472, 0.12595419847328243, False, '10115730')]"
5341814,https://rls.tpac.org.au/pq/2001377/PS29_AS_4_5m130708BoatharbourNth%20(17).JPG/,,0,0,RLS- Heliocidaris PPB,2001377_PS29_2008-07-13,RLS_Port Stephens_2008,-32.7896175,152.11,4.5,,2008-07-13 00:00:16,False,5,False,True,False,"[('Centrostephanus rodgersii', 1.0, 0.8825214899713467, 0.9351145038167938, 0.08595988538681948, 0.13358778625954199, False, '10115745'), ('Centrostephanus rodgersii', 1.0, 0.6060171919770774, 0.5362595419847328, 0.25501432664756446, 0.30916030534351147, False, '10115746'), ('Centrostephanus rodgersii', 1.0, 0.7077363896848138, 0.019083969465648856, 0.10888252148997135, 0.06870229007633588, False, '10115747'), ('Centrostephanus rodgersii', 1.0, 0.10315186246418338, 0.9064885496183206, 0.2836676217765043, 0.2824427480916031, False, '10115748'), ('Centrostephanus rodgersii', 1.0, 0.7621776504297995, 0.9694656488549618, 0.2034383954154728, 0.12213740458015267, False, '10115744')]"
5341816,https://rls.tpac.org.au/pq/2001377/PS29_AS_4_5m130708BoatharbourNth%20(19).JPG/,,0,0,RLS- Heliocidaris PPB,2001377_PS29_2008-07-13,RLS_Port Stephens_2008,-32.7895725,152.11,4.5,,2008-07-13 00:00:18,False,1,False,True,False,"[('Centrostephanus rodgersii', 1.0, 0.25644699140401145, 0.366412213740458, 0.2664756446991404, 0.2786259541984733, False, '10115750')]"
5341817,https://rls.tpac.org.au/pq/2001377/PS29_AS_4_5m130708BoatharbourNth%20(20).JPG/,,0,0,RLS- Heliocidaris PPB,2001377_PS29_2008-07-13,RLS_Port Stephens_2008,-32.78955,152.11,4.5,,2008-07-13 00:00:19,False,2,False,True,False,"[('Centrostephanus rodgersii', 1.0, 0.502865329512894, 0.30343511450381677, 0.3008595988538682, 0.31297709923664124, False, '10115752'), ('Centrostephanus rodgersii', 1.0, 0.0329512893982808, 0.1183206106870229, 0.11174785100286533, 0.24427480916030533, False, '10115751')]"
